doctor_id,working_hospital,relationship
1,深圳爱视眼科医院,working
2,深圳市罗湖区中医院康复分院,working
3,深圳市罗湖区中医院,working
4,深圳市罗湖区中医院,working
5,深圳市罗湖区中医院,working
6,深圳市罗湖区中医院,working
7,深圳平乐骨伤科医院,working
8,深圳平乐骨伤科医院,working
9,深圳平乐骨伤科医院,working
10,深圳平乐骨伤科医院,working
11,深圳平乐骨伤科医院,working
12,深圳平乐骨伤科医院,working
13,深圳平乐骨伤科医院,working
14,深圳平乐骨伤科医院,working
15,深圳平乐骨伤科医院,working
16,深圳平乐骨伤科医院,working
17,深圳平乐骨伤科医院,working
18,深圳平乐骨伤科医院,working
19,深圳平乐骨伤科医院,working
20,深圳平乐骨伤科医院,working
21,深圳仁康医院,working
22,深圳远东妇产医院,working
23,深圳远东妇产医院,working
24,深圳远东妇产医院,working
25,深圳远东妇产医院,working
26,深圳远东妇产医院,working
27,深圳远东妇产医院,working
28,深圳远东妇产医院,working
29,深圳远东妇产医院,working
30,深圳非凡医疗美容医院（深圳非凡医疗美容医院有限公司）,working
31,深圳非凡医疗美容医院（深圳非凡医疗美容医院有限公司）,working
32,深圳非凡医疗美容医院（深圳非凡医疗美容医院有限公司）,working
33,深圳非凡医疗美容医院（深圳非凡医疗美容医院有限公司）,working
34,深圳富华医疗美容医院（深圳富华医疗美容医院有限公司）,working
35,深圳博爱曙光医院,working
36,深圳市罗湖区凤凰社区健康服务中心,working
37,深圳市罗湖区凤凰社区健康服务中心,working
38,深圳市罗湖医院集团广岭社区健康服务中心（深圳市罗湖区人民医院广岭社区健康服务中心）,working
39,深圳市爱康健齿科集团股份有限公司康辉口腔门诊部,working
40,深圳市爱康健齿科集团股份有限公司康辉口腔门诊部,working
41,深圳市爱康健齿科集团股份有限公司康辉口腔门诊部,working
42,深圳市爱康健齿科集团股份有限公司康辉口腔门诊部,working
43,深圳铁路医院,working
44,深圳市罗湖区计划生育服务中心,working
45,深圳市罗湖区人民医院,working
46,深圳市罗湖区人民医院,working
47,深圳市罗湖区人民医院,working
48,深圳市罗湖区人民医院,working
49,深圳市罗湖区人民医院,working
50,深圳市罗湖区人民医院,working
51,深圳市罗湖区人民医院,working
52,深圳市人民医院,working
53,深圳市人民医院,working
54,深圳市人民医院,working
55,深圳市人民医院,working
56,深圳市人民医院,working
57,深圳市人民医院,working
58,深圳市人民医院,working
59,深圳市人民医院,working
60,深圳市人民医院,working
61,深圳市人民医院,working
62,深圳市人民医院,working
63,深圳市人民医院,working
64,深圳市人民医院,working
65,深圳市人民医院,working
66,深圳市人民医院,working
67,深圳市人民医院,working
68,深圳市人民医院,working
69,深圳市人民医院,working
70,深圳市人民医院,working
71,深圳市人民医院,working
72,深圳市人民医院,working
73,深圳市人民医院,working
74,深圳市人民医院,working
75,深圳市人民医院,working
76,深圳市人民医院,working
77,深圳市人民医院,working
78,深圳市人民医院,working
79,深圳市人民医院,working
80,深圳市人民医院,working
81,深圳市人民医院,working
82,深圳市人民医院,working
83,深圳市人民医院,working
84,深圳市人民医院,working
85,深圳市人民医院,working
86,深圳市人民医院,working
87,深圳市人民医院,working
88,深圳市人民医院,working
89,深圳市人民医院,working
90,深圳市人民医院,working
91,深圳市人民医院,working
92,深圳市人民医院,working
93,深圳市人民医院,working
94,深圳市人民医院,working
95,深圳市人民医院,working
96,深圳市人民医院,working
97,深圳市人民医院,working
98,深圳市人民医院,working
99,深圳市人民医院,working
100,深圳市人民医院,working
101,深圳市人民医院,working
102,深圳市人民医院,working
103,深圳市人民医院,working
104,深圳市人民医院,working
105,深圳市人民医院,working
106,深圳市人民医院,working
107,深圳市人民医院,working
108,深圳市人民医院,working
109,深圳市人民医院,working
110,深圳市人民医院,working
111,深圳市人民医院,working
112,深圳市人民医院,working
113,深圳市人民医院,working
114,深圳市人民医院,working
166,深圳铂雅医疗美容门诊部,working
167,深圳市康宁医院,working
168,深圳市康宁医院,working
169,深圳市康宁医院,working
170,深圳市康宁医院,working
171,深圳市康宁医院,working
172,深圳市孙逸仙心血管医院,working
173,深圳市罗湖医院集团笋岗街道社区健康服务中心（深圳市罗湖区人民医院笋岗街道社区健康服务中心）,working
174,深圳市罗湖医院集团笋岗街道社区健康服务中心（深圳市罗湖区人民医院笋岗街道社区健康服务中心）,working
175,深圳流花医院文锦社区健康服务中心,working
176,深圳市罗湖区大松泉社区健康服务中心,working
177,深圳鹏程医院,working
178,深圳鹏程医院,working
179,深圳鹏程医院,working
180,深圳鹏程医院,working
