nurse_id,medical_org,relationship,addr,status
89,曾满珍西医内科诊所,working,深圳市龙岗区南湾街道下李朗社区中盈珠宝工业厂区宿舍一栋一号,在册
90,深圳市龙岗区妇幼保健院,working,深圳市龙岗区龙城街道中心城爱龙路6号,在册
91,深圳市宝安区石岩人民医院,working,深圳市宝安区石岩街道办事处吉祥路11号,在册
92,深圳袁文灿西医诊所,working,宝安区福海街道塘尾社区新源工业区3栋凤塘大道515-3号,在册
93,南方医科大学深圳医院,working,深圳市宝安区新湖路1333号,在册
94,南方医科大学深圳医院,working,深圳市宝安区新湖路1333号,在册
95,深圳市宝安区松岗人民医院,working,宝安区松岗街道沙江路２号,在册
96,南方医科大学深圳医院,working,深圳市宝安区新湖路1333号,在册
97,深圳市宝安区福永人民医院,working,宝安区福永街道德丰路81号和凤凰社区路口107国道旁,在册
98,深圳唯双门诊部,working,宝安区新安街道熙龙湾花园（N23区）商业办公楼101,在册
99,深圳市宝安区松岗人民医院居委会社区健康服务中心,working,宝安区松岗街道爱国七街1号,在册
100,深圳新桥卫生院,working,宝安区新桥街道新桥北环路115号,在册
101,深圳永福医院,working,深圳市宝安区福永街道白石厦社区白石厦路1号101（1-7层）、2号（1-6层、8层、902、10-17层）,在册
102,深圳市宝安区福永人民医院,working,宝安区福永街道德丰路81号和凤凰社区路口107国道旁,在册
103,蒋月珠西医内科诊所（深圳市蒋月珠西医内科诊所有限公司）,working,宝安区松岗街道沙江路中海西岸华府南区6栋111-112号,在册
104,深圳同仁妇产医院,working,深圳市宝安区西乡街道宝安大道3180、3186、3188号,在册
105,深圳市宝安区松岗人民医院,working,宝安区松岗街道沙江路２号,在册
106,深圳市第三人民医院,working,深圳市龙岗区布澜路29号,在册
107,深圳市第三人民医院,working,深圳市龙岗区布澜路29号,在册
108,深圳华丹医院,working,深圳市龙岗区龙岗街道向银路100号,在册
109,深圳市第三人民医院,working,深圳市龙岗区布澜路29号,在册
110,深圳市第三人民医院,working,深圳市龙岗区布澜路29号,在册
111,深圳市龙岗区第三人民医院,working,深圳市龙岗区横岗街道松柏路278号,在册
112,深圳市龙岗区第六人民医院,working,深圳市龙岗区龙岗大道5333号,在册
113,深圳市龙岗区江日红西医内科诊所,working,深圳市龙岗区平湖街道白泥坑社区塘边路24号一楼,在册
114,深圳天顺诊所,working,深圳市龙岗区园山街道大康龙村龙兴路21一1,在册
115,深圳市龙岗区第七人民医院龙丹社区健康服务中心,working,深圳市龙岗区南湾街道龙岗大道南湾段468号,在册
116,深圳市龙岗区第三人民医院,working,深圳市龙岗区横岗街道松柏路278号,在册
117,深圳市龙岗区人民医院,working,深圳市龙岗区龙城街道爱心路53号,在册
118,深圳济华门诊部,working,深圳市龙岗区龙岗区平湖街道辅城坳社区辅岐路263号,在册
119,深圳市龙岗中心医院,working,深圳市龙岗区龙岗街道龙岗大道6082号,在册
120,深圳宝兴医院,working,深圳市龙岗区横岗街道六约社区六和路27号,在册
121,陈江河西医内科诊所,working,深圳市龙岗区坪地街道年丰社区丰茂街21号101,在册
122,深圳市宝安区妇幼保健院,working,深圳市宝安区新安街道玉律路56号,在册
123,深圳恒生医院,working,深圳市宝安区西乡街道银田路20号,在册
124,深圳市宝安区妇幼保健院,working,深圳市宝安区新安街道玉律路56号,在册
125,深圳恒生医院,working,深圳市宝安区西乡街道银田路20号,在册
126,深圳同仁妇产医院,working,深圳市宝安区西乡街道宝安大道3180、3186、3188号,在册
127,南方医科大学深圳医院,working,深圳市宝安区新湖路1333号,在册
128,深圳市宝安区中心医院福中福社区健康服务中心,working,宝安区西乡街道福中福社区新安六路与宝源路交汇处,在册
129,深圳美加美医疗美容门诊部,working,宝安区西乡街道宝安大道3220号,在册
130,深圳恒生医院,working,深圳市宝安区西乡街道银田路20号,在册
131,南方医科大学深圳医院,working,深圳市宝安区新湖路1333号,在册
132,深圳市宝安区沙井人民医院,working,深圳市宝安区沙井街道沙井大街3号、新沙路528号,在册
133,深圳市宝安区松岗人民医院,working,宝安区松岗街道沙江路２号,在册
134,深圳市宝安区沙井人民医院,working,深圳市宝安区沙井街道沙井大街3号、新沙路528号,在册
135,深圳仁新门诊部,working,宝安区西乡街道龙腾社区颐合花园D座105,在册
136,深圳市宝安区沙井人民医院,working,深圳市宝安区沙井街道沙井大街3号、新沙路528号,在册
137,深圳市龙岗区人民医院,working,深圳市龙岗区龙城街道爱心路53号,在册
138,深圳华侨医院,working,深圳市龙岗区平湖街道湖新街1号,在册
139,深圳市第三人民医院,working,深圳市龙岗区布澜路29号,在册
140,深圳肖传国医院,working,深圳市龙岗区坂田街道坂雪岗大道4035号,在册
141,深圳市龙岗中心医院龙新社区健康服务中心,working,深圳市龙岗区龙岗街道龙新社区龙升路75号,在册
