ORGAN_ID,RELATION,Illegal_Info
100469,has,400001
100321,has,400002
100416,has,400003
100142,has,400004
100213,has,400005
100210,has,400006
100402,has,400007
100782,has,400008
100186,has,400009
100215,has,400010
100416,has,400011
100391,has,400012
100391,has,400013
100391,has,400014
100435,has,400015
100206,has,400016
100215,has,400017
100196,has,400018
100215,has,400019
100215,has,400020
100215,has,400021
100089,has,400022
100190,has,400023
100210,has,400024
100089,has,400025
100115,has,400026
100584,has,400027
100203,has,400028
100589,has,400029
100186,has,400030
100179,has,400031
100179,has,400032
100379,has,400033
100190,has,400034
100180,has,400035
100180,has,400036
100455,has,400037
100190,has,400038
100200,has,400039
100196,has,400040
100409,has,400041
100400,has,400042
100190,has,400043
100180,has,400044
100438,has,400045
100215,has,400046
100215,has,400047
100478,has,400048
100455,has,400049
100779,has,400050
100180,has,400051
100391,has,400052
100391,has,400053
100170,has,400054
100133,has,400055
100402,has,400056
100179,has,400057
100452,has,400058
100190,has,400059
100180,has,400060
100180,has,400061
100162,has,400062
100089,has,400063
100402,has,400064
100455,has,400065
100210,has,400066
100181,has,400067
100408,has,400068
100213,has,400069
100190,has,400070
100445,has,400071
100188,has,400072
100210,has,400073
100452,has,400074
100099,has,400075
100402,has,400076
100417,has,400077
100416,has,400078
100393,has,400079
100180,has,400080
100203,has,400081
100408,has,400082
100417,has,400083
100389,has,400084
100179,has,400085
100452,has,400086
100664,has,400087
100215,has,400088
100186,has,400089
100454,has,400090
100179,has,400091
100179,has,400092
100784,has,400093
100193,has,400094
100425,has,400095
100317,has,400096
100391,has,400097
100391,has,400098
100391,has,400099
100204,has,400100
100194,has,400101
100867,has,400102
100469,has,400103
100400,has,400104
100455,has,400105
100409,has,400106
100708,has,400107
100438,has,400108
100209,has,400109
100425,has,400110
100433,has,400111
100179,has,400112
100408,has,400113
100806,has,400114
100451,has,400115
100391,has,400116
100424,has,400117
100424,has,400118
100179,has,400119
100813,has,400120
100445,has,400121
100194,has,400122
100421,has,400123
100408,has,400124
100417,has,400125
100402,has,400126
100188,has,400127
100180,has,400128
100433,has,400129
100191,has,400130
100438,has,400131
100176,has,400132
100179,has,400133
100446,has,400134
100192,has,400135
100215,has,400136
100391,has,400137
100411,has,400138
100411,has,400139
100399,has,400140
100202,has,400141
100469,has,400142
100416,has,400143
100401,has,400144
100194,has,400145
100180,has,400146
100400,has,400147
100215,has,400148
100424,has,400149
100424,has,400150
100159,has,400151
100598,has,400152
100093,has,400153
100085,has,400154
100452,has,400155
100452,has,400156
100452,has,400157
100379,has,400158
100379,has,400159
100782,has,400160
100096,has,400161
100176,has,400162
100100,has,400163
100209,has,400164
100940,has,400165
100192,has,400166
100321,has,400167
100321,has,400168
100321,has,400169
100215,has,400170
100807,has,400171
100391,has,400172
100427,has,400173
100530,has,400174
100328,has,400175
100180,has,400176
100180,has,400177
100180,has,400178
100452,has,400179
100779,has,400180
100452,has,400181
100215,has,400182
100417,has,400183
100099,has,400184
100415,has,400185
100409,has,400186
100400,has,400187
100186,has,400188
100181,has,400189
100474,has,400190
100453,has,400191
100391,has,400192
100213,has,400193
100482,has,400194
100133,has,400195
100445,has,400196
100089,has,400197
100434,has,400198
100210,has,400199
100213,has,400200
100705,has,400201
100425,has,400202
100215,has,400203
100324,has,400204
100208,has,400205
100325,has,400206
100116,has,400207
100210,has,400208
100416,has,400209
100416,has,400210
100416,has,400211
100431,has,400212
100786,has,400213
100213,has,400214
100608,has,400215
100213,has,400216
100617,has,400217
100598,has,400218
100209,has,400219
100089,has,400220
100391,has,400221
100325,has,400222
100410,has,400223
100659,has,400224
100115,has,400225
100292,has,400226
100190,has,400227
100456,has,400228
100449,has,400229
100406,has,400230
100774,has,400231
100445,has,400232
100101,has,400233
100746,has,400234
100089,has,400235
100951,has,400236
100209,has,400237
100209,has,400238
100115,has,400239
100585,has,400240
100191,has,400241
100188,has,400242
100746,has,400243
100065,has,400244
100209,has,400245
100453,has,400246
100402,has,400247
100685,has,400248
100444,has,400249
100189,has,400250
100186,has,400251
100204,has,400252
100410,has,400253
100723,has,400254
100951,has,400255
100951,has,400256
100064,has,400257
100452,has,400258
100203,has,400259
100929,has,400260
100189,has,400261
100445,has,400262
100769,has,400263
