ID,TYPE,ORGAN_NAME,ORGAN_CODE,TELPHONE_NUMBER,DZ,REGION_CODE,REGION,HEALTH_EXAMINATION,GSYLJG,SBDDJG,MYBJ,EMERGENCY,HIV,JHBDD
100001,社康中心,深圳市龙岗中心医院同乐社区健康服务中心,PDY750160,84890126,龙岗区龙岗街道同乐居委明乐路10号,440307,龙岗区,没有,不是,是,不是,不是,不是,不是
100002,社康中心,深圳市龙岗区第五人民医院山厦社区健康服务中心,PDY751366,0755-89693264,平湖街道山厦社区香山路3号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100003,社康中心,深圳市坪山新区坪山人民医院坪环社区健康服务中心,PDY750400,0755-84605272,龙岗区坪山街道坪环路75号,440310,坪山区,没有,不是,是,不是,不是,不是,不是
100004,社康中心,深圳市龙岗区第二人民医院三联社区健康服务中心,PDY750275,0755-89971188,龙岗区布吉街道三联村禾沙坑村委后,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100005,社康中心,深圳市龙岗区第二人民医院龙珠社区健康服务中心,PDY751606,0755-28282083,布吉街道龙珠花园1栋1楼,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100006,社康中心,深圳市龙岗区第二人民医院德兴社区健康服务中心,PDY751649,0755-28540603,布吉街道钱排新村南一巷6-8号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100007,社康中心,深圳市坪山新区妇幼保健院金沙社区健康服务中心,PDY750099,0755-84128232,深圳市龙岗区坑梓镇金沙村,440310,坪山区,没有,不是,不是,是,不是,不是,不是
100008,社康中心,深圳市坪山新区人民医院石井社区健康服务中心,PDY750072,0755-84621577,深圳市龙岗区坪山镇石井村金田路60号,440310,坪山区,没有,不是,不是,不是,不是,不是,不是
100009,社康中心,深圳市龙岗中心医院黄阁翠苑社区健康服务中心,PDY751083,28969049,龙岗区龙城街道黄阁中路黄阁翠苑,440307,龙岗区,没有,不是,是,不是,不是,不是,不是
100010,社康中心,深圳市龙岗区第三人民医院怡锦社区健康服务中心,PDY751569,28956819,横岗街道红棉一路城市中心花园3栋商铺101-103号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100011,社康中心,深圳市龙岗区第四人民医院上李朗社区健康服务中心,PDY750216,0755-89701968,？ 龙岗区南湾街道上李朗居委田心路2号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100012,社康中心,深圳市龙岗区第四人民医院丹竹头社区健康服务中心,PDY750136,0755-28749346,龙岗区南湾街道丹竹头居委竹头吓94号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100013,社康中心,深圳华侨医院良安田社区健康服务中心,PDY751008,0755-84687101,平湖街道良安田居委爱良路40号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100014,社康中心,深圳市大鹏新区妇幼保健院布新社区健康服务中心,PDY751438,0755-84311028,大鹏街道布新居委同富工业区,440319,大鹏新区,没有,不是,不是,是,不是,不是,不是
100015,社康中心,深圳市龙岗区人民医院中央悦城社区健康服务中心,PDY75206X,85232101,深圳市龙岗区中心城长兴北路3号中央悦城9栋DS110,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100016,社康中心,深圳市龙岗区第三人民医院西坑社区健康服务中心,PDY750283,0755-28618869,龙岗区横岗街道西坑社区宝桐北路131号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100017,社康中心,深圳市大鹏新区南澳人民医院东冲社区健康服务中心,PDY750363,0755-84400009,南澳街道东冲村,440319,大鹏新区,没有,不是,不是,是,不是,不是,不是
100018,社康中心,深圳市龙岗中心医院爱联社区健康服务中心,PDY750144,28954184,龙岗区龙城街道爱联社区余岭西路65号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100019,社康中心,深圳市龙岗中心医院龙西社区健康服务中心,PDY750187,0755-84878893,龙岗区龙城街道龙西居委龙西中路146号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100020,社康中心,深圳市龙岗区第二人民医院中海怡翠社区健康服务中心,PDY75046X,0755-2853596,龙岗区布吉街道中海怡翠山庄23栋1楼,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100021,社康中心,深圳市龙岗区第三人民医院安良社区健康服务中心,PDY751032,0755-28615933,横岗街道安良路199号,440307,龙岗区,没有,不是,是,不是,不是,不是,不是
100022,社康中心,深圳市坪山新区人民医院比亚迪石井社区健康服务中心,PDY751753,0755-89923699,坪山街道横坪公路3001号,440310,坪山区,没有,不是,不是,不是,不是,不是,不是
100023,社康中心,深圳市坪山新区人民医院油社社区健康服务中心,PDY751788,0755-84539912,坪山街道汤坑三路81号,440310,坪山区,没有,不是,是,不是,不是,不是,不是
100024,社康中心,深圳宝兴医院坳背社区健康服务中心,PDY751227,0755-28620366,横岗街道坳背红棉四路20号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100025,社康中心,深圳市坪山新区妇幼保健院坑梓社区健康服务中心,PDY750865,0755-89996363,坑梓街道人民西路158号2楼,440310,坪山区,没有,不是,是,是,不是,不是,不是
100026,社康中心,深圳市大鹏新区葵涌人民医院官湖社区健康服务中心,PDY751403,0755-84236234,葵涌街道原官湖村委办公楼右侧,440319,大鹏新区,有,不是,是,是,不是,不是,不是
