start_id,end_id,relation,:TYPE
400001,100163,employ_of,employ_of
400002,100198,employ_of,employ_of
400003,100198,employ_of,employ_of
400004,100198,employ_of,employ_of
400005,100198,employ_of,employ_of
400006,100304,employ_of,employ_of
400007,100184,employ_of,employ_of
400008,100184,employ_of,employ_of
400009,100184,employ_of,employ_of
400010,100184,employ_of,employ_of
400011,100184,employ_of,employ_of
400012,100184,employ_of,employ_of
400013,100184,employ_of,employ_of
400014,100184,employ_of,employ_of
400015,100650,employ_of,employ_of
400016,100650,employ_of,employ_of
400017,100449,employ_of,employ_of
400018,100449,employ_of,employ_of
400019,100449,employ_of,employ_of
400020,100449,employ_of,employ_of
400021,100449,employ_of,employ_of
400022,100449,employ_of,employ_of
400023,100449,employ_of,employ_of
400024,100408,employ_of,employ_of
400025,100408,employ_of,employ_of
400026,100408,employ_of,employ_of
400027,100408,employ_of,employ_of
400028,100408,employ_of,employ_of
400029,100408,employ_of,employ_of
400030,100408,employ_of,employ_of
400031,100408,employ_of,employ_of
400032,100408,employ_of,employ_of
400033,100408,employ_of,employ_of
400034,100408,employ_of,employ_of
400035,100408,employ_of,employ_of
400036,100408,employ_of,employ_of
400037,100408,employ_of,employ_of
400038,100408,employ_of,employ_of
400039,100408,employ_of,employ_of
400040,100408,employ_of,employ_of
400041,100408,employ_of,employ_of
400042,100408,employ_of,employ_of
400043,100408,employ_of,employ_of
400044,100408,employ_of,employ_of
400045,100408,employ_of,employ_of
400046,100408,employ_of,employ_of
400047,100408,employ_of,employ_of
400048,100408,employ_of,employ_of
400049,100408,employ_of,employ_of
400050,100408,employ_of,employ_of
400051,100408,employ_of,employ_of
400052,100408,employ_of,employ_of
400053,100408,employ_of,employ_of
400054,100408,employ_of,employ_of
400055,100408,employ_of,employ_of
400056,100408,employ_of,employ_of
400057,100408,employ_of,employ_of
400058,100408,employ_of,employ_of
400059,100408,employ_of,employ_of
400060,100408,employ_of,employ_of
400061,100408,employ_of,employ_of
400062,100408,employ_of,employ_of
400063,100408,employ_of,employ_of
400064,100408,employ_of,employ_of
400065,100408,employ_of,employ_of
400066,100408,employ_of,employ_of
400067,100408,employ_of,employ_of
400068,100408,employ_of,employ_of
400069,100408,employ_of,employ_of
400070,100408,employ_of,employ_of
400071,100408,employ_of,employ_of
400072,100408,employ_of,employ_of
400073,100408,employ_of,employ_of
400074,100408,employ_of,employ_of
400075,100408,employ_of,employ_of
400076,100408,employ_of,employ_of
400077,100408,employ_of,employ_of
400078,100408,employ_of,employ_of
400079,100408,employ_of,employ_of
400080,100408,employ_of,employ_of
400081,100408,employ_of,employ_of
400082,100408,employ_of,employ_of
400083,100408,employ_of,employ_of
400084,100408,employ_of,employ_of
400085,100408,employ_of,employ_of
400086,100408,employ_of,employ_of
400087,100380,employ_of,employ_of
