ID,CF_WSH,CF_SY,CF_SXQ,,,
300001,201606D0172-01,违法法规:《深圳经济特区控制吸烟条例》第八条,2016-05-25,,,
300002,201801001132,对医疗机构中允许未取得护士执业证书的人员或者允许未依照本条例规定办理执业地点变更手续、延续执业注册有效期的护士在本机构从事诊疗技术规范规定的护理活动的行为进行处罚,2018-06-25,,,
300003,201806A02201,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2018-07-03,,,
300004,深龙卫传[2017]10-4号,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2017-07-10,,,
300005,深宝卫放[2018]06D-2号,对医疗机构未办理诊疗科目登记或者未按照规定进行校验的行为进行处罚,2018-07-24,,,
300006,20180300511-01,对医疗机构未安装规定进行职业病危害预评价或者未提交职业病危害预评价报告，或者职业病危害预评价报告未经卫生行政部门审核同意，开工建设的处罚,2018-02-28,,,
300007,深宝卫放[2018]06D-1号,对医疗机构未给从事放射工作的人员办理《放射工作人员证》的行为进行处罚,2018-07-13,,,
300008,201703002288-01,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2018-07-04,,,
300009,深卫医[2017]30号,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-01-22,,,
300010,深卫医[2018]25号,医疗机构其他未按照规定书写病历案,2018-06-12,,,
300011,深卫医技[2018]7号,卫生技术人员开展注册专业以外的医疗卫生技术活动案,2018-03-15,,,
300012,深卫医[2018]10号,医疗机构实施手术时未取得患者或者其近亲属的书面同意案,2018-09-03,,,
300013,深卫医[2018]50号,对有隐匿、伪造、篡改病历资料、处方或者其他医疗文书等行为的不良执业行为进行检查,2018-09-03,,,
300014,深卫医[2018]52号,医疗机构其他未按照规定书写病历案,2018-09-03,,,
300015,深卫医[2018]72号,对未对从事医疗废物收集、运送、贮存、处置等工作的人员和管理人员采取职业卫生防护措施的处罚。,2018-05-17,,,
300016,20180700265-1,对医疗机构未按照规定对放射诊疗设备、工作场所及防护设施进行检测和检查的行为进行处罚,2018-05-18,,,
300017,2018100055-01,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2017-12-18,,,
300018,深卫医[2017]23号,卫生技术人员开展医疗卫生技术活动时未佩带有本人姓名、照片、职务或者技术职称的标牌案,2018-06-01,,,
300019,深卫医[2018]09-6号,医疗机构其他未按照规定书写病历案,2018-06-01,,,
300020,深卫医[2018]20号,医疗机构欺骗患者接受诊疗案,2018-05-25,,,
300021,深卫医[2018]1号,医疗机构伪造医学文书案,2018-06-01,,,
300022,深卫医[2018]24号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-03-16,,,
300023,深卫医[2018]9号,对未对医疗废物进行登记或者未保存登记资料的处罚。,2017-09-25,,,
300024,20170100221-01,对未依法取得公共场所卫生许可证擅自营业的处罚,2018-12-11,,,
300025,深卫公[2018]1号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-04-20,,,
300026,深卫医[2018]12号,对实验室新建、改建或者扩建一级、二级实验室未向设区的市级人民政府卫生主管部门或者兽医主管部门备案的行政处罚。,2017-09-21,,,
300027,201704002625-01,卫生技术人员开展医疗卫生技术活动时未佩带有本人姓名、照片、职务或者技术职称的标牌案,2017-10-20,,,
300028,深南卫医[2017]18号,对医疗卫生机构的环境、物品未符合国家有关规范、标准和规定。排放废弃的污水、污物未按照国家有关规定进行无害化处理。运送传染病病人及其污染物品的车辆、工具未随时进行消毒处理的处罚,2018-09-03,,,
300029,深龙卫传[2018]07F-3号,对接种单位未依照规定建立并保存真实、完整的疫苗接收或者购进记录的行政处罚。,2018-09-10,,,
300030,201805002603-01,医疗机构未及时告知患者医疗风险案,2018-12-21,,,
300031,深卫医[2018]92号,对医疗机构使用执业助理医师单独执业违法行为进行处罚,2018-12-12,,,
300032,深卫医[2018]85号,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-12-12,,,
300033,深卫医[2018]83号,对医疗机构未按照规定开展医疗技术临床应用的违法行为进行处罚,2018-11-09,,,
300034,深卫医[2018]71号,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-09-12,,,
300035,深卫医[2018]53号,医疗机构未及时告知患者诊疗措施案,2018-09-29,,,
300036,深卫医[2018]43号,对有隐匿、伪造、篡改病历资料、处方或者其他医疗文书等行为的不良执业行为进行检查,2018-09-25,,,
300037,深卫医[2018]44号,医疗机构其他未按照规定签署医学文书案,2018-09-29,,,
300038,深卫医[2018]80号,医疗机构伪造医学文书案,2018-09-12,,,
300039,深卫医[2018]54号,对任用一名卫生技术人员从事执业范围或本专业以外的诊疗活动的不良执业行为进行检查,2016-09-29,,,
300040,深卫医[2016]14号,对医疗机构未按照规定使用安全防护装置和个人防护用品的行为进行处罚,2018-05-07,,,
300041,20180100513-01,对未遵守卫生法律、法规、规章和诊疗护理规范的行为进行处罚,2018-12-10,,,
300042,深卫医[2018]88号,对疾病预防控制机构未依照规定建立并保存疫苗购进、分发、供应记录的行政处罚。,2018-09-28,,,
300043,201811002764-01,对医疗卫生机构对临时应急采集的血液未进行艾滋病检测，对临床用血艾滋病检测结果未进行核查，或者将艾滋病检测阳性的血液用于临床的行政处罚。,2017-09-11,,,
300044,深宝卫传罚（现[2017 ]06B-2号,深圳华丹医院使用非卫生技术人员从事医疗卫生技术工作案,2016-05-30,,,
300045,深卫医[2016]7号,使用未取得处方权的人员汪艳敏开具处方、伪造病历资料案,2016-06-12,,,
300046,深卫医[2016]10号,医疗机构欺骗患者接受诊疗案,2018-11-08,,,
300047,深卫医技[2018]41号,医疗机构欺骗患者接受诊疗案,2018-11-21,,,
300048,深卫医[2018]79号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-12-27,,,
300049,深卫医[2018]82号,对使用一名非卫生技术人员从事诊疗活动的不良执业行为进行检查,2018-11-02,,,
300050,深龙卫医[2018]07A-19号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-07,,,
300051,深卫医[2018]68号,医疗机构其他未按照规定书写病历案,2018-09-25,,,
300052,深卫医技[2018]46号,医疗机构其他未按照规定书写病历案,2018-11-30,,,
