start_id,end_id,relation,:TYPE
500001,100174,employ_of,employ_of
500002,100389,employ_of,employ_of
500003,100119,employ_of,employ_of
500004,100119,employ_of,employ_of
500005,100392,employ_of,employ_of
500006,100119,employ_of,employ_of
500007,100406,employ_of,employ_of
500008,100956,employ_of,employ_of
500009,100188,employ_of,employ_of
500010,100406,employ_of,employ_of
500011,100455,employ_of,employ_of
500012,100392,employ_of,employ_of
500013,100176,employ_of,employ_of
500014,100176,employ_of,employ_of
500015,100180,employ_of,employ_of
500016,100176,employ_of,employ_of
500017,100176,employ_of,employ_of
500018,100211,employ_of,employ_of
500019,100201,employ_of,employ_of
500020,100043,employ_of,employ_of
500021,100211,employ_of,employ_of
500022,100195,employ_of,employ_of
500023,100390,employ_of,employ_of
500024,100172,employ_of,employ_of
500025,100377,employ_of,employ_of
500026,100446,employ_of,employ_of
500027,100377,employ_of,employ_of
500028,100446,employ_of,employ_of
500029,100455,employ_of,employ_of
500030,100119,employ_of,employ_of
500031,100446,employ_of,employ_of
500032,100119,employ_of,employ_of
500033,100170,employ_of,employ_of
500034,100392,employ_of,employ_of
500035,100170,employ_of,employ_of
500036,100170,employ_of,employ_of
500037,100195,employ_of,employ_of
500038,100187,employ_of,employ_of
500039,100176,employ_of,employ_of
500040,100321,employ_of,employ_of
500041,100032,employ_of,employ_of
500042,100056,employ_of,employ_of
500043,100424,employ_of,employ_of
500044,100176,employ_of,employ_of
500045,100098,employ_of,employ_of
500046,100425,employ_of,employ_of
500047,100390,employ_of,employ_of
500048,100174,employ_of,employ_of
500049,100188,employ_of,employ_of
500050,100916,employ_of,employ_of
500051,100209,employ_of,employ_of
500052,100170,employ_of,employ_of
500053,100170,employ_of,employ_of
500054,100170,employ_of,employ_of
500055,100389,employ_of,employ_of
500056,100411,employ_of,employ_of
500057,100426,employ_of,employ_of
500058,100425,employ_of,employ_of
500059,100385,employ_of,employ_of
500060,100176,employ_of,employ_of
500061,100385,employ_of,employ_of
500062,100176,employ_of,employ_of
500063,100176,employ_of,employ_of
500064,100390,employ_of,employ_of
500065,100390,employ_of,employ_of
500066,100390,employ_of,employ_of
500067,100176,employ_of,employ_of
500068,100176,employ_of,employ_of
500069,100190,employ_of,employ_of
500070,100119,employ_of,employ_of
500071,100411,employ_of,employ_of
500072,100426,employ_of,employ_of
500073,100389,employ_of,employ_of
500074,100411,employ_of,employ_of
500075,100715,employ_of,employ_of
500076,100387,employ_of,employ_of
500077,100684,employ_of,employ_of
500078,100119,employ_of,employ_of
500079,100201,employ_of,employ_of
500080,100176,employ_of,employ_of
500081,100421,employ_of,employ_of
500082,100176,employ_of,employ_of
500083,100428,employ_of,employ_of
500084,100174,employ_of,employ_of
500085,100052,employ_of,employ_of
500086,100397,employ_of,employ_of
500087,100116,employ_of,employ_of
500088,100390,employ_of,employ_of
500089,100390,employ_of,employ_of
500090,100119,employ_of,employ_of
500091,100387,employ_of,employ_of
500092,100119,employ_of,employ_of
500093,100209,employ_of,employ_of
500094,100411,employ_of,employ_of
500095,100170,employ_of,employ_of
500096,100119,employ_of,employ_of
500097,100170,employ_of,employ_of
500098,100387,employ_of,employ_of
500099,100426,employ_of,employ_of
500100,100454,employ_of,employ_of
500101,100119,employ_of,employ_of
500102,100426,employ_of,employ_of
500103,100402,employ_of,employ_of
500104,100406,employ_of,employ_of
500105,100455,employ_of,employ_of
500106,100188,employ_of,employ_of
500107,100175,employ_of,employ_of
500108,100390,employ_of,employ_of
500109,100421,employ_of,employ_of
500110,100421,employ_of,employ_of
500111,100100,employ_of,employ_of
500112,100612,employ_of,employ_of
500113,100306,employ_of,employ_of
500114,100390,employ_of,employ_of
500115,100607,employ_of,employ_of
500116,100535,employ_of,employ_of
500117,100119,employ_of,employ_of
500118,100209,employ_of,employ_of
500119,100446,employ_of,employ_of
500120,100119,employ_of,employ_of
500121,100209,employ_of,employ_of
500122,100387,employ_of,employ_of
500123,100170,employ_of,employ_of
500124,100119,employ_of,employ_of
500125,100119,employ_of,employ_of
500126,100190,employ_of,employ_of
500127,100389,employ_of,employ_of
500128,100030,employ_of,employ_of
500129,100059,employ_of,employ_of
500130,100192,employ_of,employ_of
500131,100397,employ_of,employ_of
500132,100420,employ_of,employ_of
500133,100428,employ_of,employ_of
500134,100425,employ_of,employ_of
500135,100174,employ_of,employ_of
500136,100098,employ_of,employ_of
500137,100098,employ_of,employ_of
500138,100390,employ_of,employ_of
500139,100446,employ_of,employ_of
500140,100119,employ_of,employ_of
500141,100170,employ_of,employ_of
500142,100446,employ_of,employ_of
500143,100377,employ_of,employ_of
500144,100446,employ_of,employ_of
500145,100119,employ_of,employ_of
500146,100426,employ_of,employ_of
500147,100869,employ_of,employ_of
500148,100406,employ_of,employ_of
500149,100406,employ_of,employ_of
500150,100406,employ_of,employ_of
500151,100411,employ_of,employ_of
500152,100411,employ_of,employ_of
500153,100411,employ_of,employ_of
500154,100390,employ_of,employ_of
500155,100385,employ_of,employ_of
500156,100425,employ_of,employ_of
500157,100321,employ_of,employ_of
500158,100174,employ_of,employ_of
500159,100174,employ_of,employ_of
500160,100378,employ_of,employ_of
500161,100176,employ_of,employ_of
500162,100378,employ_of,employ_of
500163,100519,employ_of,employ_of
500164,100392,employ_of,employ_of
500165,100406,employ_of,employ_of
500166,100409,employ_of,employ_of
500167,100381,employ_of,employ_of
500168,100409,employ_of,employ_of
500169,100381,employ_of,employ_of
500170,100409,employ_of,employ_of
500171,100115,employ_of,employ_of
500172,100381,employ_of,employ_of
500173,100405,employ_of,employ_of
500174,100143,employ_of,employ_of
500175,100414,employ_of,employ_of
500176,100113,employ_of,employ_of
500177,100409,employ_of,employ_of
500178,100414,employ_of,employ_of
500179,100409,employ_of,employ_of
500180,100379,employ_of,employ_of
500181,100401,employ_of,employ_of
500182,100381,employ_of,employ_of
500183,100432,employ_of,employ_of
500184,100409,employ_of,employ_of
500185,100409,employ_of,employ_of
500186,100208,employ_of,employ_of
500187,100990,employ_of,employ_of
500188,100396,employ_of,employ_of
500189,100396,employ_of,employ_of
500190,100394,employ_of,employ_of
500191,100207,employ_of,employ_of
