start_id,end_id,relation,:TYPE
200001,100001,in_charge_of,in_charge_of
200002,100002,in_charge_of,in_charge_of
200003,100003,in_charge_of,in_charge_of
200004,100004,in_charge_of,in_charge_of
200005,100005,in_charge_of,in_charge_of
200006,100006,in_charge_of,in_charge_of
200007,100007,in_charge_of,in_charge_of
200008,100008,in_charge_of,in_charge_of
200009,100009,in_charge_of,in_charge_of
200010,100010,in_charge_of,in_charge_of
200011,100011,in_charge_of,in_charge_of
200012,100012,in_charge_of,in_charge_of
200013,100013,in_charge_of,in_charge_of
200014,100014,in_charge_of,in_charge_of
200015,100016,in_charge_of,in_charge_of
200016,100017,in_charge_of,in_charge_of
200017,100018,in_charge_of,in_charge_of
200018,100019,in_charge_of,in_charge_of
200019,100020,in_charge_of,in_charge_of
200020,100021,in_charge_of,in_charge_of
200021,100022,in_charge_of,in_charge_of
200022,100023,in_charge_of,in_charge_of
200023,100024,in_charge_of,in_charge_of
200024,100025,in_charge_of,in_charge_of
200025,100026,in_charge_of,in_charge_of
200026,100027,in_charge_of,in_charge_of
200027,100028,in_charge_of,in_charge_of
200028,100029,in_charge_of,in_charge_of
200029,100030,in_charge_of,in_charge_of
200030,100031,in_charge_of,in_charge_of
200031,100032,in_charge_of,in_charge_of
200032,100033,in_charge_of,in_charge_of
200033,100034,in_charge_of,in_charge_of
200034,100035,in_charge_of,in_charge_of
200035,100036,in_charge_of,in_charge_of
200036,100037,in_charge_of,in_charge_of
200037,100038,in_charge_of,in_charge_of
200038,100039,in_charge_of,in_charge_of
200039,100040,in_charge_of,in_charge_of
200040,100042,in_charge_of,in_charge_of
200041,100043,in_charge_of,in_charge_of
200042,100044,in_charge_of,in_charge_of
200043,100045,in_charge_of,in_charge_of
200044,100046,in_charge_of,in_charge_of
200045,100047,in_charge_of,in_charge_of
200046,100048,in_charge_of,in_charge_of
200047,100049,in_charge_of,in_charge_of
200048,100050,in_charge_of,in_charge_of
200049,100051,in_charge_of,in_charge_of
200050,100052,in_charge_of,in_charge_of
200051,100053,in_charge_of,in_charge_of
200052,100054,in_charge_of,in_charge_of
200053,100055,in_charge_of,in_charge_of
200054,100056,in_charge_of,in_charge_of
200055,100057,in_charge_of,in_charge_of
200056,100058,in_charge_of,in_charge_of
200057,100059,in_charge_of,in_charge_of
200058,100060,in_charge_of,in_charge_of
200059,100061,in_charge_of,in_charge_of
200060,100062,in_charge_of,in_charge_of
200061,100063,in_charge_of,in_charge_of
200062,100064,in_charge_of,in_charge_of
200063,100065,in_charge_of,in_charge_of
200064,100066,in_charge_of,in_charge_of
200065,100067,in_charge_of,in_charge_of
200066,100068,in_charge_of,in_charge_of
200067,100069,in_charge_of,in_charge_of
200068,100070,in_charge_of,in_charge_of
200069,100071,in_charge_of,in_charge_of
200070,100072,in_charge_of,in_charge_of
200071,100074,in_charge_of,in_charge_of
200072,100075,in_charge_of,in_charge_of
200073,100076,in_charge_of,in_charge_of
200074,100077,in_charge_of,in_charge_of
200075,100078,in_charge_of,in_charge_of
200076,100079,in_charge_of,in_charge_of
200077,100080,in_charge_of,in_charge_of
200078,100081,in_charge_of,in_charge_of
200079,100082,in_charge_of,in_charge_of
200080,100083,in_charge_of,in_charge_of
200081,100084,in_charge_of,in_charge_of
200082,100085,in_charge_of,in_charge_of
200083,100087,in_charge_of,in_charge_of
200084,100088,in_charge_of,in_charge_of
200085,100097,in_charge_of,in_charge_of
200086,100098,in_charge_of,in_charge_of
200087,100101,in_charge_of,in_charge_of
200088,100102,in_charge_of,in_charge_of
200089,100104,in_charge_of,in_charge_of
200090,100105,in_charge_of,in_charge_of
200091,100106,in_charge_of,in_charge_of
200092,100107,in_charge_of,in_charge_of
200093,100110,in_charge_of,in_charge_of
200094,100114,in_charge_of,in_charge_of
200095,100117,in_charge_of,in_charge_of
200096,100119,in_charge_of,in_charge_of
200097,100121,in_charge_of,in_charge_of
200098,100122,in_charge_of,in_charge_of
200099,100123,in_charge_of,in_charge_of
200100,100124,in_charge_of,in_charge_of
